zeta: 0.00, death_threshold: 0.44, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.45, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.46, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.47, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.48, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.49, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.50, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.51, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.52, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.53, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.54, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.55, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.56, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.57, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.58, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.59, SVP size: 3.20, DeD-Deadend size: 0.01, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.60, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.61, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.62, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.63, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.64, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.65, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.66, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.67, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.68, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.69, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.70, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.71, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.72, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.73, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
zeta: 0.00, death_threshold: 0.74, SVP size: 3.20, DeD-Deadend size: 0.00, Conflict fraction: 0.0000, Avg IoU: 0.0000
